timestamp,market_id,event_slug,title,outcome,price,size_usd,first_seen,last_analyzed,last_trade_timestamp
1761290123,,presidential-election-winner-2028,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Yes,0.0129999992025141,1223.846152,2025-10-24T08:10:49.355229,,
1761290123,,presidential-election-winner-2028,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Yes,0.0129999992025141,1223.846152,2025-10-24T08:20:42.306105,,
1761290123,,presidential-election-winner-2028,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Yes,0.0129999992025141,1223.846152,2025-10-24T08:25:59.791667,,
1761290123,,presidential-election-winner-2028,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Yes,0.0129999992025141,1223.846152,2025-10-24T08:32:30.863317,,
1761290123,,presidential-election-winner-2028,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Yes,0.0129999992025141,1223.846152,2025-10-24T08:33:12.164500,,
1761290123,0x64396449b471b10b006285fa49dd9a5df535694de7b4c703fdeb0d88d5c4cd33,presidential-election-winner-2028,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Yes,0.0129999992025141,1223.846152,2025-10-24T08:39:24.404832,,
1761290121,0x34c989bada239153e86a009b3d25539db4c86fc4df3e01d320f0bee58a7aef45,new-york-city-mayoral-election,Will Brad Lander win the 2025 NYC mayoral election?,No,0.998,566.71,2025-10-24T08:39:24.406868,,
1761290119,0x184228c1bfc9502d38f6f9984667f3da7b2f955616f195a3ba28b51fb0539bfe,super-bowl-champion-2026-731,Will the New Orleans Saints win Super Bowl 2026?,No,0.995,285.0452,2025-10-24T08:39:24.408577,,
1761290119,0x9d59c34f5d72bbaf94582cb4cc6a3a07f08fa2b848458012db6f2ae6b6a27fb8,xrp-above-on-october-24,Will the price of XRP be above $2.50 on October 24?,Yes,0.22,149.99,2025-10-24T08:39:24.410723,,
1761290117,0xbdac07dfbefef613fc2a3b0facd21936cd5c0decf886960191d0faad1634e858,bitcoin-up-or-down-october-24-3am-et,"Bitcoin Up or Down - October 24, 3AM ET",Down,0.85,105.0,2025-10-24T08:39:24.412824,,
1761290117,0xb80de907dbcdfc4efe8219c3f9544f02f4267556982a1013b641bf348aff21d4,who-will-trump-pardon-in-2025,Will Trump pardon Diddy in 2025?,Yes,0.1578968144317688,126.665,2025-10-24T08:39:24.414807,,
1761290117,0xf1916d77db1d198c540e55f1cb7461681b480cc64db5d1712096519f0f13711d,ethereum-up-or-down-october-24-3am-et,"Ethereum Up or Down - October 24, 3AM ET",Up,0.3,100.0,2025-10-24T08:39:24.416415,,
1761290117,0x22438911c66b94e8118a4810b86a38e6fc17ad2ba92ca463533200ad68e15aa3,nba-mil-tor-2025-10-24,Bucks vs. Raptors,Raptors,0.53,1000.0,2025-10-24T08:39:24.418261,,
